elem_id,n1,n2,x_mid,y_mid,z_mid,x1,y1,z1,x2,y2,z2,length,orientation,element_type,N_max,V_max,M_max,sigma_axial,sigma_bending,sigma_combined,tau_shear,utilization,shear_utilization
70,173,212,36000.0,8000.0,27000.0,32000.0,8000.0,27000.0,40000.0,8000.0,27000.0,8000.0,x-direction,beam_x,1.244760652163408e-06,8.307493939647152e-06,0.04527739924574134,3.457668478231689e-08,0.001257705534603926,0.0012577401112887083,3.4614558081863137e-07,8.384934075258056e-05,1.3845823232745254e-07
71,30,69,4000.0,16000.0,27000.0,0.0,16000.0,27000.0,8000.0,16000.0,27000.0,8000.0,x-direction,beam_x,0.05993608417362305,5.839667628705007e-06,0.034724479190974024,0.0016648912270450847,0.0009645688664159451,0.00262946009346103,2.433194845293753e-07,0.00021912167445508582,9.732779381175011e-08
72,69,108,12000.0,16000.0,27000.0,8000.0,16000.0,27000.0,16000.0,16000.0,27000.0,8000.0,x-direction,beam_x,0.04148902687001586,8.319281513124351e-05,0.4246328959355467,0.0011524729686115517,0.011795358220431852,0.012947831189043404,3.4663672971351465e-06,0.0008631887459362269,1.3865469188540586e-06
73,108,147,20000.0,16000.0,27000.0,16000.0,16000.0,27000.0,24000.0,16000.0,27000.0,8000.0,x-direction,beam_x,0.06459233680150413,3.9170316281729174e-11,0.20297645932900388,0.001794231577819559,0.005638234981361219,0.007432466559180778,1.6320965117387156e-12,0.0006193722132650648,6.528386046954863e-13
74,147,186,28000.0,16000.0,27000.0,24000.0,16000.0,27000.0,32000.0,16000.0,27000.0,8000.0,x-direction,beam_x,0.041448743361505135,8.319284415310762e-05,0.4246330445768672,0.0011513539822640315,0.011795362349357422,0.012946716331621453,3.466368506379484e-06,0.0008631144221080969,1.3865474025517937e-06
75,186,225,36000.0,16000.0,27000.0,32000.0,16000.0,27000.0,40000.0,16000.0,27000.0,8000.0,x-direction,beam_x,0.05995306217669977,5.839674304082224e-06,0.03472449942459663,0.0016653628382416602,0.0009645694284610174,0.0026299322667026775,2.4331976267009266e-07,0.00021916102222522312,9.732790506803706e-08
76,5,44,4000.0,0.0,33000.0,0.0,0.0,33000.0,8000.0,0.0,33000.0,8000.0,x-direction,beam_x,0.00046262042568054833,1.4488484148577119e-05,0.09078051342933412,1.2850567380015231e-05,0.0025216809285926144,0.0025345314959726297,6.036868395240466e-07,0.0001689687663981753,2.4147473580961863e-07
77,44,83,12000.0,0.0,33000.0,8000.0,0.0,33000.0,16000.0,0.0,33000.0,8000.0,x-direction,beam_x,0.004041676498712505,0.0006013941446731953,3.25959556262864,0.00011226879163090291,0.0905443211841289,0.0906565899757598,2.5058089361383137e-05,0.007554715831313317,1.0023235744553255e-05
78,83,122,20000.0,0.0,33000.0,16000.0,0.0,33000.0,24000.0,0.0,33000.0,8000.0,x-direction,beam_x,0.05929558642853977,3.6757452441325117e-11,1.655911219834844,0.0016470996230149937,0.04599753388430122,0.047644633507316216,1.5315605183885466e-12,0.003176308900487748,6.126242073554186e-13
79,122,161,28000.0,0.0,33000.0,24000.0,0.0,33000.0,32000.0,0.0,33000.0,8000.0,x-direction,beam_x,0.004041517627608309,0.0006013941447200601,3.2595955620649066,0.00011226437854467524,0.09054432116846964,0.0906565855470143,2.505808936333584e-05,0.007554715462251192,1.0023235745334336e-05
80,161,200,36000.0,0.0,33000.0,32000.0,0.0,33000.0,40000.0,0.0,33000.0,8000.0,x-direction,beam_x,0.00046260252939816214,1.448848404585968e-05,0.09078051295043375,1.285007026106006e-05,0.0025216809152898262,0.0025345309855508862,6.036868352441533e-07,0.00016896873237005907,2.414747340976613e-07
81,18,57,4000.0,8000.0,33000.0,0.0,8000.0,33000.0,8000.0,8000.0,33000.0,8000.0,x-direction,beam_x,2.2117045687502836e-06,1.2865528649303698e-05,0.07893180157227594,6.14362380208412e-08,0.0021925500436743317,0.0021926114799123526,5.360636937209874e-07,0.00018271762332602937,2.1442547748839496e-07
82,57,96,12000.0,8000.0,33000.0,8000.0,8000.0,33000.0,16000.0,8000.0,33000.0,8000.0,x-direction,beam_x,9.87370407609178e-06,0.0006376821170168164,3.356359895871942,2.742695576692161e-07,0.09323221932977617,0.09323249359933383,2.6570088209034015e-05,0.006215499573288922,1.0628035283613607e-05
83,96,135,20000.0,8000.0,33000.0,16000.0,8000.0,33000.0,24000.0,8000.0,33000.0,8000.0,x-direction,beam_x,5.236201682193438e-07,1.0067102984567811e-12,1.655865713070055,1.454500467275955e-08,0.04599626980750152,0.045996284352506196,4.194626243569921e-14,0.0030664189568337464,1.6778504974279685e-14
84,135,174,28000.0,8000.0,33000.0,24000.0,8000.0,33000.0,32000.0,8000.0,33000.0,8000.0,x-direction,beam_x,9.872664696167409e-06,0.0006376821178757189,3.356359900278583,2.7424068600465026e-07,0.09323221945218287,0.09323249369286887,2.6570088244821625e-05,0.006215499579524592,1.062803529792865e-05
85,174,213,36000.0,8000.0,33000.0,32000.0,8000.0,33000.0,40000.0,8000.0,33000.0,8000.0,x-direction,beam_x,2.211612705425605e-06,1.2865528504446154e-05,0.07893180085529526,6.143368626182236e-08,0.0021925500237582017,0.0021926114574444635,5.360636876852565e-07,0.0001827176214537053,2.144254750741026e-07
86,31,70,4000.0,16000.0,33000.0,0.0,16000.0,33000.0,8000.0,16000.0,33000.0,8000.0,x-direction,beam_x,0.0004597514026814572,1.4488478758520312e-05,0.09078048374732724,1.2770872296707144e-05,0.0025216801040924236,0.0025344509763891307,6.036866149383464e-07,0.00021120424803242757,2.4147464597533855e-07
